"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"65",338,"07/2","/II-2:27",NA,"C2",NA,"7 Unterteil","11 f","horizontale Rillen, auf der 'Wulst' Kammeindrücke (Pkt-Reihe)","02_Burials_Center"
"66",340,"07/2","/II-3:31",NA,"C2",NA,"0 unbekannt","1 a","","02_Burials_Center"
"67",341,"07/2","/II-3:4",NA,"C2","1","2 Rand","4","Kammeinstiche/-drücke überkreuzt","02_Burials_Center"
"68",341,"07/2","/II-3:4",NA,"C2","1","3 Oberteil","1 a","","02_Burials_Center"
"69",341,"07/2","/II-3:4",NA,"C2","1","3 Oberteil","10 a","horizontale Rillen/auf der 'Wulst' Kammeindrücke (Pkt-Reihe)","02_Burials_Center"
"70",342,"07/2","/II-3:58",NA,"C2",NA,"0 unbekannt","1 a","","02_Burials_Center"
"71",343,"07/2","/II-3:71",NA,"C2",NA,"7 Unterteil","11 f","horizontale Rillen, auf der 'Wulst' Kammeindrücke (Pkt-Reihe), darunter Reihen aus Kammeindrücken/-stichen diagonal","02_Burials_Center"
"72",344,"07/2","/II-3:72",NA,"C2",NA,"7 Unterteil","1 a","","02_Burials_Center"
"73",344,"07/2","/II-3:72",NA,"C2",NA,"7 Unterteil","11 f","horizontale Rillen, auf der 'Wulst' Kammeindrücke (Pkt-Reihe)","02_Burials_Center"
"74",345,"07/2","/II-3:73",NA,"C2",NA,"7 Unterteil","1 a","horizontale Rillen","02_Burials_Center"
"75",346,"07/2","/II-3:74",NA,"C2",NA,"7 Unterteil","11 f","horizontale Rillen, auf der 'Wulst' Kammeindrücke (Pkt-Reihe)","02_Burials_Center"
"76",347,"07/2","/II-3:86",NA,"C2",NA,"7 Unterteil","13","Reihen aus Kammeindrücken/-stichen Fischgräte","02_Burials_Center"
"77",348,"07/2","/II-4:1",NA,"C2",NA,"0 unbekannt","1 a","","02_Burials_Center"
"78",1656,"07/2","/I-1:21",NA,"2",NA,"1 Innen","1 a","","02_Burials_Center"
"79",1657,"07/1","/II-1:10, 89, 91, 97, 99, 102, II-2:32, 88","A","1",NA,"2 Rand","1 a","","02_Burials_Center"
"80",1657,"07/1","/II-1:10, 89, 91, 97, 99, 102, II-2:32, 88","A","1",NA,"4 Hals","10 a","Leiste mit einstichen auf Leiste (10a)","02_Burials_Center"
"81",1658,"07/2","/II-2:8, II-3: 51, 59, 66",NA,"2",NA,"4 Hals","12","plastische Leiste; teilw unterbrochen als Knubben","02_Burials_Center"
"82",1658,"07/2","/II-2:8, II-3: 51, 59, 66",NA,"2",NA,"5 Schulter","1 a","","02_Burials_Center"
"83",1658,"07/2","/II-2:8, II-3: 51, 59, 66",NA,"2",NA,"5 Schulter","1 b","","02_Burials_Center"
"84",1659,"07/2","/I-1:1, 2, 27, 33, II-3:55",NA,"2",NA,"5 Schulter","1 a","diagonal","02_Burials_Center"
"85",1659,"07/2","/I-1:1, 2, 27, 33, II-3:55",NA,"2",NA,"4 Hals","1 a","","02_Burials_Center"
"86",1659,"07/2","/I-1:1, 2, 27, 33, II-3:55",NA,"2",NA,"5 Schulter","1 a","","02_Burials_Center"
"87",1659,"07/2","/I-1:1, 2, 27, 33, II-3:55",NA,"2",NA,"5 Schulter","1 b","","02_Burials_Center"
"88",1661,"07/2","/II-1:1, II-2:1 usw.",NA,"2","2d","5 Schulter","2","liefert kl Knubben","02_Burials_Center"
"89",1661,"07/2","/II-1:1, II-2:1 usw.",NA,"2","2d","4 Hals","4","","02_Burials_Center"
"90",1661,"07/2","/II-1:1, II-2:1 usw.",NA,"2","2d","1 Innen","4","","02_Burials_Center"
"91",1661,"07/2","/II-1:1, II-2:1 usw.",NA,"2","2d","2 Rand","4","","02_Burials_Center"
"92",1661,"07/2","/II-1:1, II-2:1 usw.",NA,"2","2d","5 Schulter","1 a","","02_Burials_Center"
"93",1664,"07/1","/II-1:9, 86, 93","A","1",NA,"5 Schulter","4","fein","02_Burials_Center"
"94",1664,"07/1","/II-1:9, 86, 93","A","1",NA,"5 Schulter","1 a","","02_Burials_Center"
"95",1685,"07/2","/II-2:5",NA,"2","1c","3 Oberteil","1 a","","02_Burials_Center"
"96",1691,"07/1","/II-4:35-37,41","1-2","1","1c","2 Rand","4","","02_Burials_Center"
"97",1691,"07/1","/II-4:35-37,41","1-2","1","1c","3 Oberteil","8 a","Wiegeband/Klinge","02_Burials_Center"
"98",1691,"07/1","/II-4:35-37,41","1-2","1","1c","3 Oberteil","1 a","","02_Burials_Center"
