"","ObjID","feature","Indiv","GE","box","form_vessel"
"428",949,"07/11","II/2b:110",NA,NA,NA
"429",950,"07/11","I/1:17",NA,NA,NA
"430",951,"07/11","I/3:13",NA,NA,NA
"431",952,"07/11","I/4:4",NA,NA,NA
"432",953,"07/11","I/2:22",NA,NA,NA
"433",954,"07/11","I/2:21",NA,NA,NA
"434",955,"07/11","I/4:3",NA,NA,NA
"435",956,"07/11","II/2b:116",NA,NA,NA
"436",957,"07/11","I/2:25",NA,NA,NA
"437",958,"07/11","II/2b:113",NA,NA,NA
"438",959,"07/11","II/2b:112",NA,NA,NA
"439",960,"07/11","II/2b:119",NA,NA,NA
"440",961,"07/11","II/2b:128",NA,NA,NA
"441",962,"07/11","I/6:2",NA,NA,NA
"442",963,"07/11","II/2b:115",NA,NA,NA
"443",964,"07/11","I/6:8",NA,NA,NA
"444",965,"07/11","II/2b:126",NA,NA,NA
"445",966,"07/11","II/2b:122",NA,NA,NA
"446",967,"07/11","II/2b:140",NA,NA,NA
"447",968,"07/11","I/k.a.:2",NA,NA,NA
"448",969,"07/11","II/2b:131",NA,NA,NA
"449",970,"07/11","I/4:6",NA,NA,NA
"450",971,"07/11","I/4:10",NA,NA,NA
"451",972,"07/11","I/4:5",NA,NA,NA
"452",973,"07/11","I/1:31",NA,NA,NA
"453",974,"07/11","/0:3",NA,NA,NA
"454",975,"07/11","/0:5",NA,NA,NA
"455",976,"07/11","/0:6",NA,NA,NA
"456",977,"07/11","/0:4",NA,NA,NA
"457",978,"07/11","/0:16",NA,NA,NA
"458",979,"07/11","/0:12",NA,NA,NA
"459",980,"07/11","/0:7",NA,NA,NA
"460",981,"07/11","/0:15",NA,NA,NA
"461",982,"07/11","/0:8",NA,NA,NA
"462",983,"07/11","/0:10",NA,NA,NA
"463",984,"07/11","/0:11",NA,NA,NA
"464",985,"07/11","/0:9",NA,NA,NA
"465",986,"07/11","/0:18",NA,NA,NA
"466",987,"07/11","/0:13",NA,NA,NA
"467",988,"07/11","/0:17",NA,NA,NA
"468",989,"07/11","/0:20",NA,NA,NA
"469",990,"07/11","/0:14",NA,NA,NA
"470",991,"07/11","/0:19",NA,NA,NA
"471",992,"07/11","/0:21",NA,NA,NA
"472",993,"07/11","/0:22",NA,NA,NA
"473",994,"07/11","/0:23",NA,NA,NA
"474",995,"07/11","II/2b:100",NA,NA,NA
"475",996,"07/11","II/2b:86",NA,NA,NA
"476",997,"07/11","II/2b:94",NA,NA,NA
"477",998,"07/11","II/2b:145",NA,NA,NA
"478",999,"07/11","I/2:25",NA,NA,NA
"479",1000,"07/11","II/2b:164",NA,NA,NA
"480",1001,"07/11","II/2b:147",NA,NA,NA
"481",1002,"07/11","II/2b:142",NA,NA,NA
"482",1003,"07/11","II/2b:149",NA,NA,NA
"483",1004,"07/11","II/2c:6",NA,NA,NA
"484",1005,"07/11","II/2b:144",NA,NA,NA
"485",1006,"07/11","II/2b:120",NA,NA,NA
"486",1007,"07/11","II/2b:158",NA,NA,NA
"487",1008,"07/11","II/2b:154",NA,NA,NA
"488",1009,"07/11","II/2b:118",NA,NA,NA
"489",1010,"07/11","II/2b:155",NA,NA,NA
"490",1011,"07/11","II/2b:148",NA,NA,NA
"491",1012,"07/11","II/2b:124",NA,NA,NA
"492",1013,"07/11","II/2b:151",NA,NA,NA
"493",1014,"07/11","II/2b:173",NA,NA,NA
"494",1015,"07/11","II/2b:179",NA,NA,NA
"495",1016,"07/11","II/2b:160",NA,NA,NA
"496",1017,"07/11","II/2b:139",NA,NA,NA
"497",1018,"07/11","I/1:26",NA,NA,NA
"498",1019,"07/11","II/2b:172",NA,NA,NA
"499",1020,"07/11","II/2b:157",NA,NA,NA
"500",1021,"07/11","II/2b:161",NA,NA,NA
"501",1022,"07/11","II/2b:214",NA,NA,NA
"502",1023,"07/11","II/2c:11",NA,NA,NA
"503",1024,"07/11","I/1:33",NA,NA,NA
"504",1025,"07/11","II/2b:152",NA,NA,NA
"505",1026,"07/11","II/2b:153",NA,NA,NA
"506",1027,"07/11","II/2b:135",NA,NA,NA
"507",1028,"07/11","II/2b:212",NA,NA,NA
"508",1029,"07/11","II/2b:224",NA,NA,NA
"509",1030,"07/11","II/2b:171",NA,NA,NA
"510",1031,"07/11","I/4:9",NA,NA,NA
"511",1032,"07/11","II/2b:211",NA,NA,NA
"512",1033,"07/11","II/2b:200",NA,NA,NA
"513",1034,"07/11","II/2b:219",NA,NA,NA
"514",1035,"07/11","II/2b:180",NA,NA,NA
"515",1036,"07/11","II/2b:132",NA,NA,NA
"516",1037,"07/11","II/2b:188",NA,NA,NA
"517",1038,"07/11","II/2b:193",NA,NA,NA
"518",1039,"07/11","II/2b:206",NA,NA,NA
"519",1040,"07/11","II/2b:185",NA,NA,NA
"520",1041,"07/11","I/5:3",NA,NA,NA
"521",1042,"07/11","Ii/2b:196",NA,NA,NA
"522",1043,"07/11","II/2b:119",NA,NA,NA
"523",1044,"07/11","II/2b:213",NA,NA,NA
"524",1045,"07/11","I/6:7",NA,NA,NA
"525",1046,"07/11","I/1:30",NA,NA,NA
"526",1047,"07/11","II/2b:150",NA,NA,NA
"527",1048,"07/11","II/2b:189",NA,NA,NA
"528",1049,"07/11","II/2b:156",NA,NA,NA
"529",1050,"07/11","II/2b:169",NA,NA,NA
"530",1051,"07/11","II/2b:138",NA,NA,NA
"531",1052,"07/11","II/2b:181",NA,NA,NA
"532",1053,"07/11","I/4:7",NA,NA,NA
"533",1054,"07/11","II/2b:168",NA,NA,NA
"534",1055,"07/11","II/2b:136",NA,NA,NA
"535",1056,"07/11","II/2c:10",NA,NA,NA
"536",1057,"07/11","II/2b:217",NA,NA,NA
"537",1058,"07/11","II/2b:228",NA,NA,NA
"538",1059,"07/11","II/2b:183",NA,NA,NA
"539",1060,"07/11","II/2b:203",NA,NA,NA
"540",1061,"07/11","II/2c:19",NA,NA,NA
"541",1062,"07/11","II/2b:133",NA,NA,NA
